J2,J1,AllIssues_Total_Freq,AllIssues_Case_Opps,Total_Freq,Case_Opps,Year,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,J_id,G1,G2,ColorValue,Topic
103,100,142,215,48,64,1985,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,100_103,2,2,-1,Criminal Procedure
97,91,84,169,16,46,1966,JHarlan2,Eisenhower,R,R,AFortas,LBJ,D,D,91_97,1,1,0,Criminal Procedure
86,80,147,191,21,28,1946,FFrankfurter,FDR,D,I,HHBurton,Truman,D,R,80_86,1,1,1,Criminal Procedure
109,106,56,85,16,24,2006,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,2,1,0,Criminal Procedure
109,105,69,111,22,35,2009,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,105_109,2,1,0,Criminal Procedure
100,92,153,185,30,39,1988,WJBrennan,Eisenhower,R,D,HABlackmun,Nixon,R,R,92_100,2,2,-1,Criminal Procedure
108,104,90,127,14,23,1991,SDOConnor,Reagan,R,R,CThomas,Bush,R,R,104_108,1,1,-1,Criminal Procedure
92,78,138,175,28,36,1960,HLBlack,FDR,D,D,WJBrennan,Eisenhower,R,D,78_92,2,2,0,Criminal Procedure
110,109,80,92,19,23,2004,RBGinsburg,Clinton,D,D,SGBreyer,Clinton,D,D,109_110,1,1,1,Criminal Procedure
101,92,124,209,8,29,1981,WJBrennan,Eisenhower,R,D,LFPowell,Nixon,R,D,92_101,1,1,-1,Criminal Procedure
89,88,98,118,22,26,1954,TCClark,Truman,D,D,SMinton,Truman,D,D,88_89,1,1,1,Criminal Procedure
86,84,130,172,21,28,1946,RHJackson,FDR,D,D,HHBurton,Truman,D,R,84_86,1,1,1,Criminal Procedure
103,100,141,192,28,33,1980,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,100_103,1,1,-1,Criminal Procedure
101,99,184,226,42,51,1976,WEBurger,Nixon,R,R,LFPowell,Nixon,R,D,99_101,1,1,-1,Criminal Procedure
89,84,99,129,20,23,1952,RHJackson,FDR,D,D,SMinton,Truman,D,D,84_89,1,1,1,Criminal Procedure
101,92,134,198,22,44,1982,WJBrennan,Eisenhower,R,D,LFPowell,Nixon,R,D,92_101,1,1,-1,Criminal Procedure
103,101,137,219,42,69,1983,LFPowell,Nixon,R,D,JPStevens,Ford,R,R,101_103,1,1,-1,Criminal Procedure
93,92,109,175,25,36,1960,WJBrennan,Eisenhower,R,D,CEWhittaker,Eisenhower,R,R,92_93,2,1,-1,Criminal Procedure
88,80,86,146,18,28,1956,FFrankfurter,FDR,D,I,TCClark,Truman,D,D,80_88,1,1,1,Criminal Procedure
105,103,58,111,8,20,1996,JPStevens,Ford,R,R,AScalia,Reagan,R,R,103_105,1,1,-1,Criminal Procedure
92,81,179,225,41,50,1971,WODouglas,FDR,D,D,WJBrennan,Eisenhower,R,D,81_92,2,2,0,Criminal Procedure
103,95,153,238,24,58,1986,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,95_103,1,2,0,Criminal Procedure
102,98,103,207,18,64,1983,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,98_102,1,1,0,Criminal Procedure
109,108,57,99,11,25,2010,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,108_109,1,2,0,Criminal Procedure
102,99,168,195,40,45,1984,WEBurger,Nixon,R,R,WHRehnquist,Nixon,R,R,99_102,1,1,-1,Criminal Procedure
100,81,112,227,22,55,1971,WODouglas,FDR,D,D,HABlackmun,Nixon,R,R,81_100,2,2,0,Criminal Procedure
109,105,68,84,17,22,2013,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,105_109,1,1,0,Criminal Procedure
105,92,111,236,20,59,1986,WJBrennan,Eisenhower,R,D,AScalia,Reagan,R,R,92_105,2,1,-1,Criminal Procedure
110,107,57,75,20,26,2007,DHSouter,Bush,R,R,SGBreyer,Clinton,D,D,107_110,1,1,0,Criminal Procedure
86,79,125,152,31,34,1947,SFReed,FDR,D,D,HHBurton,Truman,D,R,79_86,1,1,1,Criminal Procedure
102,98,124,198,26,42,1974,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,98_102,1,1,0,Criminal Procedure
103,95,123,194,25,44,1984,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,95_103,1,1,0,Criminal Procedure
98,91,81,139,30,56,1967,JHarlan2,Eisenhower,R,R,TMarshall,LBJ,D,D,91_98,1,1,0,Criminal Procedure
102,98,96,189,15,45,1984,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,98_102,1,1,0,Criminal Procedure
102,100,139,204,33,44,1982,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,1,1,-1,Criminal Procedure
109,105,53,95,16,30,2003,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,105_109,2,1,0,Criminal Procedure
101,99,196,215,35,40,1975,WEBurger,Nixon,R,R,LFPowell,Nixon,R,D,99_101,1,1,-1,Criminal Procedure
100,98,146,228,25,55,1971,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,98_100,2,2,0,Criminal Procedure
113,105,63,83,16,22,2013,AScalia,Reagan,R,R,SSotomayor,Obama,D,I,105_113,1,1,0,Criminal Procedure
97,81,185,221,71,80,1967,WODouglas,FDR,D,D,AFortas,LBJ,D,D,81_97,1,1,1,Criminal Procedure
114,110,69,74,14,15,2014,SGBreyer,Clinton,D,D,EKagan,Obama,D,D,110_114,1,1,1,Criminal Procedure
110,109,75,94,19,27,2008,RBGinsburg,Clinton,D,D,SGBreyer,Clinton,D,D,109_110,2,2,1,Criminal Procedure
101,100,177,215,54,66,1983,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,100_101,1,1,-1,Criminal Procedure
109,108,63,92,14,25,2005,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,108_109,1,1,0,Criminal Procedure
94,88,142,174,30,32,1965,TCClark,Truman,D,D,PStewart,Eisenhower,R,R,88_94,1,1,0,Criminal Procedure
93,92,48,62,7,10,1961,WJBrennan,Eisenhower,R,D,CEWhittaker,Eisenhower,R,R,92_93,1,1,-1,Criminal Procedure
89,84,72,97,19,24,1953,RHJackson,FDR,D,D,SMinton,Truman,D,D,84_89,1,1,1,Criminal Procedure
102,100,156,216,51,66,1983,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,1,1,-1,Criminal Procedure
80,78,114,189,17,28,1946,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,78_80,1,1,1,Criminal Procedure
99,94,161,200,27,42,1974,PStewart,Eisenhower,R,R,WEBurger,Nixon,R,R,94_99,1,1,-1,Criminal Procedure
104,102,109,123,27,31,1997,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,102_104,1,1,-1,Criminal Procedure
111,106,67,82,16,24,2006,AMKennedy,Reagan,R,R,JGRoberts,WBush,R,R,106_111,2,2,-1,Criminal Procedure
109,105,57,92,13,23,2004,AScalia,Reagan,R,R,RBGinsburg,Clinton,D,D,105_109,1,1,0,Criminal Procedure
81,80,69,166,7,23,1959,FFrankfurter,FDR,D,I,WODouglas,FDR,D,D,80_81,1,2,1,Criminal Procedure
104,98,114,240,13,59,1986,TMarshall,LBJ,D,D,SDOConnor,Reagan,R,R,98_104,2,1,0,Criminal Procedure
92,81,131,167,17,23,1959,WODouglas,FDR,D,D,WJBrennan,Eisenhower,R,D,81_92,2,2,0,Criminal Procedure
96,91,124,205,16,35,1962,JHarlan2,Eisenhower,R,R,AJGoldberg,Kennedy,D,D,91_96,1,1,0,Criminal Procedure
86,80,68,119,3,11,1949,FFrankfurter,FDR,D,I,HHBurton,Truman,D,R,80_86,1,1,1,Criminal Procedure
106,105,72,84,18,22,2013,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,1,1,-1,Criminal Procedure
99,92,110,216,24,64,1985,WJBrennan,Eisenhower,R,D,WEBurger,Nixon,R,R,92_99,2,1,-1,Criminal Procedure
105,102,100,112,22,24,1995,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,102_105,1,1,-1,Criminal Procedure
108,102,68,80,13,17,2004,WHRehnquist,Nixon,R,R,CThomas,Bush,R,R,102_108,1,1,-1,Criminal Procedure
112,103,63,106,16,33,2009,JPStevens,Ford,R,R,SAAlito,WBush,R,R,103_112,1,2,-1,Criminal Procedure
98,92,155,163,46,47,1968,WJBrennan,Eisenhower,R,D,TMarshall,LBJ,D,D,92_98,1,1,0,Criminal Procedure
99,98,120,194,25,43,1977,TMarshall,LBJ,D,D,WEBurger,Nixon,R,R,98_99,1,1,0,Criminal Procedure
93,91,154,194,38,45,1957,JHarlan2,Eisenhower,R,R,CEWhittaker,Eisenhower,R,R,91_93,1,1,-1,Criminal Procedure
109,106,98,124,18,31,1997,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Criminal Procedure
81,80,78,152,20,34,1947,FFrankfurter,FDR,D,I,WODouglas,FDR,D,D,80_81,1,2,1,Criminal Procedure
93,88,128,168,20,23,1959,TCClark,Truman,D,D,CEWhittaker,Eisenhower,R,R,88_93,1,1,0,Criminal Procedure
89,87,118,146,24,25,1952,FMVinson,Truman,D,D,SMinton,Truman,D,D,87_89,1,1,1,Criminal Procedure
93,88,128,165,32,39,1958,TCClark,Truman,D,D,CEWhittaker,Eisenhower,R,R,88_93,2,2,0,Criminal Procedure
106,92,60,87,10,21,1987,WJBrennan,Eisenhower,R,D,AMKennedy,Reagan,R,R,92_106,1,1,-1,Criminal Procedure
91,81,81,163,13,39,1958,WODouglas,FDR,D,D,JHarlan2,Eisenhower,R,R,81_91,1,2,0,Criminal Procedure
105,103,58,108,12,24,1995,JPStevens,Ford,R,R,AScalia,Reagan,R,R,103_105,1,1,-1,Criminal Procedure
95,94,21,24,2,3,1961,PStewart,Eisenhower,R,R,BRWhite,Kennedy,D,D,94_95,1,1,0,Criminal Procedure
114,110,66,80,16,21,2011,SGBreyer,Clinton,D,D,EKagan,Obama,D,D,110_114,1,1,1,Criminal Procedure
110,104,74,92,19,23,2004,SDOConnor,Reagan,R,R,SGBreyer,Clinton,D,D,104_110,1,1,0,Criminal Procedure
105,104,117,143,31,41,1990,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,104_105,1,1,-1,Criminal Procedure
102,92,99,191,16,34,1980,WJBrennan,Eisenhower,R,D,WHRehnquist,Nixon,R,R,92_102,1,1,-1,Criminal Procedure
99,94,182,227,32,41,1973,PStewart,Eisenhower,R,R,WEBurger,Nixon,R,R,94_99,1,1,-1,Criminal Procedure
113,105,66,104,22,34,2009,AScalia,Reagan,R,R,SSotomayor,Obama,D,I,105_113,2,1,0,Criminal Procedure
108,104,66,92,16,23,2004,SDOConnor,Reagan,R,R,CThomas,Bush,R,R,104_108,1,1,-1,Criminal Procedure
95,92,144,175,39,43,1969,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,1,1,0,Criminal Procedure
99,94,172,226,39,51,1976,PStewart,Eisenhower,R,R,WEBurger,Nixon,R,R,94_99,1,1,-1,Criminal Procedure
95,92,20,24,2,3,1961,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,1,1,0,Criminal Procedure
103,101,82,109,14,17,1975,LFPowell,Nixon,R,D,JPStevens,Ford,R,R,101_103,1,1,-1,Criminal Procedure
110,109,74,84,21,24,2006,RBGinsburg,Clinton,D,D,SGBreyer,Clinton,D,D,109_110,1,1,1,Criminal Procedure
93,80,50,62,8,10,1961,FFrankfurter,FDR,D,I,CEWhittaker,Eisenhower,R,R,80_93,1,1,0,Criminal Procedure
101,100,181,212,37,40,1975,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,100_101,1,1,-1,Criminal Procedure
98,94,113,162,35,47,1968,PStewart,Eisenhower,R,R,TMarshall,LBJ,D,D,94_98,1,1,0,Criminal Procedure
111,107,66,87,15,23,2005,DHSouter,Bush,R,R,JGRoberts,WBush,R,R,107_111,1,1,-1,Criminal Procedure
110,109,98,111,18,20,1996,RBGinsburg,Clinton,D,D,SGBreyer,Clinton,D,D,109_110,1,1,1,Criminal Procedure
106,102,96,112,18,21,1998,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,102_106,1,1,-1,Criminal Procedure
92,81,179,229,39,50,1972,WODouglas,FDR,D,D,WJBrennan,Eisenhower,R,D,81_92,2,2,0,Criminal Procedure
102,98,102,201,14,44,1982,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,98_102,1,1,0,Criminal Procedure
93,88,141,172,28,36,1960,TCClark,Truman,D,D,CEWhittaker,Eisenhower,R,R,88_93,1,1,0,Criminal Procedure
82,80,103,174,16,23,1948,FFrankfurter,FDR,D,I,FMurphy,FDR,D,D,80_82,1,2,1,Criminal Procedure
108,106,77,92,20,25,2005,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,106_108,1,1,-1,Criminal Procedure
109,107,101,110,17,19,2002,DHSouter,Bush,R,R,RBGinsburg,Clinton,D,D,107_109,1,1,0,Criminal Procedure
89,81,68,146,11,26,1952,WODouglas,FDR,D,D,SMinton,Truman,D,D,81_89,2,1,1,Criminal Procedure
114,110,57,66,16,19,2010,SGBreyer,Clinton,D,D,EKagan,Obama,D,D,110_114,2,2,1,Criminal Procedure
109,106,66,105,20,33,1999,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,2,1,0,Criminal Procedure
102,99,198,222,37,40,1975,WEBurger,Nixon,R,R,WHRehnquist,Nixon,R,R,99_102,1,1,-1,Criminal Procedure
102,100,137,193,32,45,1984,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,1,1,-1,Criminal Procedure
98,81,117,152,29,40,1969,WODouglas,FDR,D,D,TMarshall,LBJ,D,D,81_98,1,1,1,Criminal Procedure
95,90,116,167,24,42,1966,EWarren,Eisenhower,R,R,BRWhite,Kennedy,D,D,90_95,1,1,0,Criminal Procedure
107,103,96,109,14,19,2002,JPStevens,Ford,R,R,DHSouter,Bush,R,R,103_107,1,1,-1,Criminal Procedure
99,92,128,226,23,49,1971,WJBrennan,Eisenhower,R,D,WEBurger,Nixon,R,R,92_99,2,2,-1,Criminal Procedure
92,81,188,229,35,41,1973,WODouglas,FDR,D,D,WJBrennan,Eisenhower,R,D,81_92,2,2,0,Criminal Procedure
110,109,101,109,22,22,2000,RBGinsburg,Clinton,D,D,SGBreyer,Clinton,D,D,109_110,1,1,1,Criminal Procedure
112,108,85,99,23,25,2010,CThomas,Bush,R,R,SAAlito,WBush,R,R,108_112,1,1,-1,Criminal Procedure
105,102,86,106,25,33,1999,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,102_105,2,2,-1,Criminal Procedure
108,106,91,111,22,24,1995,AMKennedy,Reagan,R,R,CThomas,Bush,R,R,106_108,1,1,-1,Criminal Procedure
100,98,6,8,4,5,1969,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,98_100,1,1,0,Criminal Procedure
98,95,127,153,34,40,1969,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,1,1,Criminal Procedure
102,92,120,202,21,44,1982,WJBrennan,Eisenhower,R,D,WHRehnquist,Nixon,R,R,92_102,1,1,-1,Criminal Procedure
105,104,68,90,16,22,2001,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,104_105,2,2,-1,Criminal Procedure
109,106,73,93,19,25,2005,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Criminal Procedure
94,92,141,219,19,40,1975,WJBrennan,Eisenhower,R,D,PStewart,Eisenhower,R,R,92_94,1,1,-1,Criminal Procedure
91,78,100,171,16,36,1960,HLBlack,FDR,D,D,JHarlan2,Eisenhower,R,R,78_91,2,1,0,Criminal Procedure
98,78,90,139,27,56,1967,HLBlack,FDR,D,D,TMarshall,LBJ,D,D,78_98,1,1,1,Criminal Procedure
94,92,126,170,26,35,1960,WJBrennan,Eisenhower,R,D,PStewart,Eisenhower,R,R,92_94,2,1,-1,Criminal Procedure
100,81,112,226,19,41,1973,WODouglas,FDR,D,D,HABlackmun,Nixon,R,R,81_100,2,1,0,Criminal Procedure
104,100,151,207,22,29,1981,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,100_104,1,1,-1,Criminal Procedure
90,80,49,82,5,12,1961,FFrankfurter,FDR,D,I,EWarren,Eisenhower,R,R,80_90,1,1,0,Criminal Procedure
81,78,87,128,22,26,1951,HLBlack,FDR,D,D,WODouglas,FDR,D,D,78_81,1,1,1,Criminal Procedure
88,87,99,113,21,23,1951,FMVinson,Truman,D,D,TCClark,Truman,D,D,87_88,1,1,1,Criminal Procedure
98,95,162,225,33,51,1976,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,1,1,Criminal Procedure
100,98,135,223,21,48,1972,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,98_100,2,1,0,Criminal Procedure
104,95,113,146,28,38,1992,BRWhite,Kennedy,D,D,SDOConnor,Reagan,R,R,95_104,1,1,0,Criminal Procedure
105,104,113,152,16,28,1991,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,104_105,1,1,-1,Criminal Procedure
109,104,64,91,15,22,2001,SDOConnor,Reagan,R,R,RBGinsburg,Clinton,D,D,104_109,2,1,0,Criminal Procedure
80,78,75,165,9,23,1959,HLBlack,FDR,D,D,FFrankfurter,FDR,D,I,78_80,2,1,1,Criminal Procedure
102,95,164,199,29,38,1987,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,95_102,1,1,0,Criminal Procedure
112,111,78,87,18,22,2012,JGRoberts,WBush,R,R,SAAlito,WBush,R,R,111_112,1,1,-1,Criminal Procedure
105,102,99,110,20,23,2000,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,102_105,2,2,-1,Criminal Procedure
102,100,139,212,22,29,1981,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,100_102,1,1,-1,Criminal Procedure
88,80,139,166,29,35,1960,FFrankfurter,FDR,D,I,TCClark,Truman,D,D,80_88,1,1,1,Criminal Procedure
109,103,81,94,23,27,2008,JPStevens,Ford,R,R,RBGinsburg,Clinton,D,D,103_109,2,2,0,Criminal Procedure
94,92,128,152,18,25,1961,WJBrennan,Eisenhower,R,D,PStewart,Eisenhower,R,R,92_94,1,1,-1,Criminal Procedure
98,95,132,201,19,38,1987,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,95_98,1,1,1,Criminal Procedure
89,80,56,101,4,14,1951,FFrankfurter,FDR,D,I,SMinton,Truman,D,D,80_89,1,1,1,Criminal Procedure
100,95,8,9,5,5,1969,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,95_100,1,1,0,Criminal Procedure
93,92,100,170,13,23,1959,WJBrennan,Eisenhower,R,D,CEWhittaker,Eisenhower,R,R,92_93,2,1,-1,Criminal Procedure
100,95,129,217,35,64,1985,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,95_100,1,2,0,Criminal Procedure
90,81,175,223,66,80,1967,WODouglas,FDR,D,D,EWarren,Eisenhower,R,R,81_90,1,1,0,Criminal Procedure
97,78,103,148,22,30,1965,HLBlack,FDR,D,D,AFortas,LBJ,D,D,78_97,1,1,1,Criminal Procedure
109,102,75,112,9,21,1998,WHRehnquist,Nixon,R,R,RBGinsburg,Clinton,D,D,102_109,1,1,0,Criminal Procedure
109,106,74,109,13,19,2002,AMKennedy,Reagan,R,R,RBGinsburg,Clinton,D,D,106_109,1,1,0,Criminal Procedure
110,106,77,108,12,19,2002,AMKennedy,Reagan,R,R,SGBreyer,Clinton,D,D,106_110,1,1,0,Criminal Procedure
109,108,47,93,14,27,2008,CThomas,Bush,R,R,RBGinsburg,Clinton,D,D,108_109,1,2,0,Criminal Procedure
101,94,183,215,33,40,1975,PStewart,Eisenhower,R,R,LFPowell,Nixon,R,D,94_101,1,1,-1,Criminal Procedure
102,81,54,122,9,33,1971,WODouglas,FDR,D,D,WHRehnquist,Nixon,R,R,81_102,2,1,0,Criminal Procedure
102,95,142,192,27,34,1980,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,95_102,1,1,0,Criminal Procedure
104,103,89,145,19,41,1990,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,103_104,2,1,-1,Criminal Procedure
103,92,135,186,33,40,1978,WJBrennan,Eisenhower,R,D,JPStevens,Ford,R,R,92_103,1,1,-1,Criminal Procedure
105,103,51,95,15,30,2003,JPStevens,Ford,R,R,AScalia,Reagan,R,R,103_105,1,2,-1,Criminal Procedure
101,100,137,213,37,64,1985,HABlackmun,Nixon,R,R,LFPowell,Nixon,R,D,100_101,2,1,-1,Criminal Procedure
106,104,75,91,18,22,2001,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,104_106,2,2,-1,Criminal Procedure
85,82,134,175,21,23,1948,FMurphy,FDR,D,D,WBRutledge,FDR,D,D,82_85,2,2,1,Criminal Procedure
100,98,143,197,28,42,1974,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,98_100,1,1,0,Criminal Procedure
112,111,77,84,20,21,2011,JGRoberts,WBush,R,R,SAAlito,WBush,R,R,111_112,1,1,-1,Criminal Procedure
114,113,81,84,22,23,2012,SSotomayor,Obama,D,I,EKagan,Obama,D,D,113_114,2,2,1,Criminal Procedure
95,92,114,240,14,58,1986,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,92_95,2,1,0,Criminal Procedure
101,94,182,215,33,41,1973,PStewart,Eisenhower,R,R,LFPowell,Nixon,R,D,94_101,1,1,-1,Criminal Procedure
111,108,95,111,26,35,2009,CThomas,Bush,R,R,JGRoberts,WBush,R,R,108_111,2,2,-1,Criminal Procedure
91,80,159,190,42,45,1957,FFrankfurter,FDR,D,I,JHarlan2,Eisenhower,R,R,80_91,1,1,0,Criminal Procedure
100,78,118,179,22,37,1970,HLBlack,FDR,D,D,HABlackmun,Nixon,R,R,78_100,1,1,0,Criminal Procedure
104,100,154,194,35,45,1984,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,100_104,1,1,-1,Criminal Procedure
81,78,122,140,23,26,1956,HLBlack,FDR,D,D,WODouglas,FDR,D,D,78_81,2,2,1,Criminal Procedure
106,105,81,95,23,30,2003,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,2,2,-1,Criminal Procedure
110,105,78,111,18,24,1995,AScalia,Reagan,R,R,SGBreyer,Clinton,D,D,105_110,1,1,0,Criminal Procedure
87,84,138,170,23,28,1946,RHJackson,FDR,D,D,FMVinson,Truman,D,D,84_87,1,1,1,Criminal Procedure
105,104,147,177,37,40,1988,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,104_105,1,1,-1,Criminal Procedure
110,107,90,109,18,19,2002,DHSouter,Bush,R,R,SGBreyer,Clinton,D,D,107_110,1,1,0,Criminal Procedure
79,78,72,123,2,11,1949,HLBlack,FDR,D,D,SFReed,FDR,D,D,78_79,1,1,1,Criminal Procedure
102,99,179,212,26,27,1981,WEBurger,Nixon,R,R,WHRehnquist,Nixon,R,R,99_102,1,1,-1,Criminal Procedure
106,105,80,95,20,22,2001,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,105_106,2,2,-1,Criminal Procedure
95,94,162,207,32,35,1962,PStewart,Eisenhower,R,R,BRWhite,Kennedy,D,D,94_95,1,1,0,Criminal Procedure
101,94,165,193,34,42,1974,PStewart,Eisenhower,R,R,LFPowell,Nixon,R,D,94_101,1,1,-1,Criminal Procedure
94,92,115,187,19,34,1980,WJBrennan,Eisenhower,R,D,PStewart,Eisenhower,R,R,92_94,1,1,-1,Criminal Procedure
110,103,101,124,26,31,1997,JPStevens,Ford,R,R,SGBreyer,Clinton,D,D,103_110,1,1,0,Criminal Procedure
102,95,163,204,39,44,1982,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,95_102,1,1,0,Criminal Procedure
103,100,115,146,31,41,1990,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,100_103,2,2,-1,Criminal Procedure
91,90,85,151,12,25,1961,EWarren,Eisenhower,R,R,JHarlan2,Eisenhower,R,R,90_91,1,1,-1,Criminal Procedure
114,106,43,66,14,19,2010,AMKennedy,Reagan,R,R,EKagan,Obama,D,D,106_114,1,2,0,Criminal Procedure
112,108,56,80,17,26,2015,CThomas,Bush,R,R,SAAlito,WBush,R,R,108_112,1,1,-1,Criminal Procedure
100,95,123,189,24,40,1988,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,95_100,1,2,0,Criminal Procedure
105,104,122,147,29,39,1992,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,104_105,1,1,-1,Criminal Procedure
108,107,65,96,14,22,2001,DHSouter,Bush,R,R,CThomas,Bush,R,R,107_108,1,2,-1,Criminal Procedure
106,103,88,143,21,40,1990,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,103_106,2,1,-1,Criminal Procedure
